error rates: 246
716 398365412 738
715 -685340646 706
715 653534172 139
715 -1477148949 708
715 -840769581 5
715 1455350060 576
715 1184191108 4
715 -165907264 110
715 -465379349 718
715 -1803299498 2
714 641295568 735
714 -1530136384 132
714 -1504691112 633
712 -754665071 712
712 1586344798 712
710 -458062083 582
709 -139094134 6
709 600744774 979
709 -1676728630 20
709 -1046841686 20
708 -546060189 866
708 169898618 836
708 254545870 16
708 1973386510 720
707 1253399825 699
706 -464663873 711
703 1857214928 3
703 -1234829104 677
703 1246853400 700
702 -286073394 914
702 1736779492 10
702 -1071110909 8
701 1188550455 705
701 1323379857 865
701 546992785 836
700 1791329399 698
699 -741024687 78
699 -1955625706 626
698 -1479789309 104
698 -1344679882 692
695 105974741 13
695 973471732 680
695 618473020 2
694 -537228148 1076
694 127465162 720
694 -2088508043 694
694 -1016568047 662
693 -184119516 21
692 -105795431 704
692 -659139194 546
692 2114084194 506
692 834853978 4
692 2136345066 182
691 643918656 13
691 -2011552664 635
691 -1158031477 8
691 130533872 972
691 -898788736 2
691 561492470 6
691 -237217086 4
690 -1937368235 654
690 -185616291 36
690 -1916208528 690
690 -1347930664 6
689 -275801705 706
689 -734542662 482
688 -1745231090 20
688 1887976572 685
688 -1891552549 557
688 -597761165 140
686 -1829931322 688
686 -1701145383 666
686 -1966934104 12
686 -967211455 6
686 1226092931 684
685 2127337235 162
685 765264643 598
684 -347027221 829
684 -2101143998 27
684 -1951665501 10
684 -1673215038 648
684 244617782 662
684 10079998 20
684 -1879266359 676
684 -642351755 700
683 758839342 544
683 1697622694 6
683 -941306873 70
682 608957895 731
681 837712273 667
681 -207689957 517
681 804061078 677
681 -228488811 6
681 1919102409 598
680 1616126196 682
679 -1205332490 539
679 -1829213714 15
679 -922336673 2
679 -359687938 2
678 1593845439 646
678 1851133676 2
677 1799254228 685
677 -670597549 696
677 -578708104 2
677 -314889187 6
677 -1484363666 656
677 -673920842 20
676 -1252685482 616
676 1984078040 4
676 609059136 668
676 1275373043 660
676 -1442179578 60
674 147604056 197
674 -29558570 968
674 689676181 664
673 -359423518 9
673 290472451 217
673 2072899700 753
673 1599239531 658
673 215370603 410
673 -903739757 6
673 -1930157500 160
673 1492689037 802
672 1680285980 8
672 -1136054056 989
672 1093111500 2
672 689738596 644
672 -1151383046 2
671 1408927202 16
671 425349218 655
671 995177313 42
670 -951839731 776
669 1935299929 723
669 -985794601 7
669 1380102457 512
669 1042062369 226
668 878349890 10
667 -972972958 672
667 -475124962 662
667 1004164258 530
667 713527362 2
667 1533392745 653
666 1285046790 10
665 757188751 678
663 -1255217346 554
663 -751406927 13
662 1218785653 561
662 2038592749 116
662 -732719870 2
662 -563189959 460
662 -8647343 96
662 -473999782 715
660 704484949 666
660 -866893703 670
660 1224247355 672
660 -2044593567 94
660 519825803 2
660 -70986847 654
659 -1673780535 464
658 -1131528348 907
658 -957673602 670
658 -1677299563 4
658 1841431095 734
658 262096668 5
657 133406102 16
657 585023854 107
656 1638357770 674
656 1531766622 67
656 1479679602 2
656 -138879690 636
656 -1686831218 20
655 1663015717 651
654 -848287049 568
654 1129776083 127
654 -35608253 52
653 1217857134 636
653 125440334 4
652 56525906 642
652 -706532895 650
651 -981777986 4
651 -524401450 434
651 -485676362 16
650 1325805394 1045
650 -63754160 4
650 1681984466 3
650 835746610 20
650 1822503994 53
650 1843752194 2
649 -1080812680 796
649 1111651841 615
649 -1962519176 639
648 -540525760 597
648 -1022856480 116
648 -1505384776 25
647 -1040447086 632
647 -900062125 632
646 1057212422 128
646 -1042687689 650
646 -724394261 27
646 -1302147381 603
646 1988901134 534
646 1059959248 644
646 580721709 672
645 -1998559703 84
645 -286783447 8
645 1041642341 2
645 947982117 638
645 2014262297 20
643 -1106812585 16
642 -692513820 638
642 -1497837756 2
642 -859613667 442
641 -715674508 612
640 -1110396034 524
639 -773701308 13
639 -654182406 150
639 -1546364670 620
639 -1367358052 4
639 -553781012 628
638 1112607489 586
637 403222630 855
637 -766172478 47
637 635139726 550
637 1410151254 4
637 1362109611 362
637 -2066363446 568
636 -1839739507 524
636 -1459383255 20
636 -1274459855 612
634 1514866186 583
634 1402624826 340
634 1328176186 2
634 1407165664 640
633 -1590133977 592
633 1951582711 686
632 1071826412 632
632 398479104 594
632 -516228691 622
630 2049843051 629
630 -34500894 1406
630 -750824152 12
630 895292779 764
630 550828685 628
630 -832480312 568
629 -1938053651 9
629 -1062239627 595
628 401550056 628
628 312519572 650
628 -198490797 2
628 -635507389 632
627 1529940235 616
627 1166996511 632
626 530712697 20
626 639879257 642
624 -1811604418 624
624 229382559 4
624 164646603 64
624 231211217 630
624 -1922705576 628
623 -1232059200 3
623 -1952962328 4
622 -396072548 800
622 -1766564043 624
621 838872039 595
621 1474166841 628
621 258825193 2
621 1497647495 20
621 902165827 8
620 1960967112 634
620 -994593990 55
620 -1088648274 84
620 -213492734 20
619 1910655630 782
619 -1563038819 2
618 627989606 578
618 1355781606 160
618 201117170 163
618 1584441716 20
618 -1455491690 684
618 -26482626 30
617 1483437510 685
616 323445800 608
616 535843856 4
615 -1401958105 407
615 -418358197 741
614 986712237 95
614 -560904214 540
614 2000847389 88
613 1847586747 3
613 1411432324 659
613 274526467 2
613 -1100018797 752
613 -1252530941 2
613 -1700719271 581
612 -326980090 2
612 1679466451 622
611 -1787320832 3
611 -2097394544 4
611 -1128100676 609
611 -762756479 4
610 2116000360 8
610 -1057268132 2
610 -1113381019 588
610 143443898 610
610 -1959044813 6
610 -41242674 602
610 1283006853 614
610 617271280 654
610 -854413365 277
609 -795575972 540
609 1553048476 35
609 361556924 618
609 638767695 2
609 -1947853054 609
609 811663992 589
608 1598522446 602
608 302644585 4
608 838533441 596
607 818491174 611
607 442616041 646
607 951446583 2
607 625682369 2
606 1954232592 26
606 -1031850117 8
606 341924416 578
606 -357514541 780
606 -599362687 626
605 -176013458 568
605 538994064 694
605 -1987212146 148
605 -987834750 514
605 -484846854 128
605 -1704796078 3
604 127296292 528
604 -1199147084 14
604 538248761 200
604 833475156 60
604 -585354235 20
604 -1935719003 584
604 1467061937 99
604 -876429268 590
604 1615376723 602
603 -1520157486 606
603 -1809939886 4
603 -1851035739 2
602 1776075148 626
602 -334993833 1600
602 -1044672689 2
601 1443400609 7
601 1105067553 574
601 1942574289 610
601 857415041 4
601 66440665 9
601 473280063 574
601 1980347199 60
600 -1969088210 593
600 1626690552 614
600 1465048247 20
600 1726929919 438
600 -549694652 20
599 578261837 403
599 202498138 640
598 1069686154 4
598 1588260570 610
598 -519622236 404
597 -197927743 603
597 1431333474 6
597 77610882 660
596 -1252403091 528
596 1929945949 576
596 1743606630 626
596 -217640408 394
595 -948566068 599
594 -1034861214 770
594 1053578684 52
594 -1241803782 170
592 12794551 4
592 -49785934 2
592 997887004 32
591 -1095039672 592
591 -1274616560 7
591 -1691633491 32
590 -1587545333 6
590 -793445093 692
590 -1605859178 20
590 -1973551658 584
589 -1153994462 10
589 1335233628 142
589 -1147010041 94
588 -433449477 558
588 573250436 106
588 -1897643387 535
588 807512961 2
588 822080004 426
588 1999810367 586
587 -682797198 2
586 -68559196 526
585 -818987927 9
585 -1816427345 18
585 2073847924 596
585 -1302363537 4
585 -1681066897 584
585 724692748 4
585 -437572559 371
584 -1796083121 5
584 -1358172271 977
584 -76899183 2
583 1170537434 20
582 1327041966 900
582 -1213626602 580
582 1865255606 4
582 1948959843 8
582 382881859 70
582 1751315489 2
582 997288569 564
582 -885665194 20
581 355812468 590
581 -575459173 572
580 1947699149 2
579 -1659252326 602
578 361968231 572
578 1635691293 637
578 1776537611 4
578 516651703 8
577 1159619918 20
577 -229582097 678
577 -942228288 607
577 -633473982 2
577 968222262 502
576 -303222493 210
576 -935894245 8
576 -2074184949 2
576 -546722475 2
576 -646517179 578
576 -1910639149 10
576 -1853034021 162
575 -1800896124 639
575 -2052323174 174
575 -1956547880 533
575 747082484 584
575 -990138495 562
575 1430828348 4
575 -479530440 42
574 1491311751 2
574 1784348238 642
574 -35499891 486
574 1758274044 604
574 -856513301 6
574 1042666676 2
574 1196869814 96
573 2014598251 503
573 -945888118 4
572 -102416358 636
572 -1630255739 572
572 -108288561 20
571 -1756299139 577
570 -843241764 608
570 18690299 564
570 -1258728693 724
569 1526450854 588
569 1907099577 510
568 -1410843660 1152
568 -117034563 5
568 1600353319 563
568 2103283271 8
568 -863728502 2
568 -390533459 1146
567 -1871370958 555
567 -1310350036 688
567 -301119817 603
566 -90504770 571
566 233346494 2
566 180245371 578
566 442244115 2
566 969276102 568
565 -409433664 651
565 714602760 567
565 942723143 581
564 2087234449 153
564 1233578025 2
564 -995426951 20
563 864817277 4
563 -349510244 567
563 199398965 2
563 1409243765 708
562 -64132045 549
562 -69249621 570
562 2037889113 8
562 -1690970673 1074
561 -1245905267 422
561 -1845143568 10
561 -1887756147 4
561 -392961475 4
560 -636834745 540
560 -1347000427 2
560 -1342280435 560
559 -1536118648 23
559 889531052 576
559 -1784294296 23
559 -583657688 1012
559 876360876 208
558 1339634830 2
558 854669110 222
558 28589646 4
558 -1329771026 558
557 417721998 506
556 -1215236476 552
556 -614048218 572
555 -609375534 18
555 -705169794 95
555 -1645825854 4
555 -2068908235 558
555 -1284449081 503
554 620031525 556
554 -1767721529 4
553 -765267147 2
553 1811222602 463
553 -14114117 341
553 1009923274 664
553 -1438728081 559
553 -1927810011 680
553 -695394344 20
552 351177171 4
552 -304690862 561
552 -375994159 396
552 255323087 2
552 78355431 2
551 -1818140214 555
550 932376430 540
550 -148430834 529
550 -1398115066 7
550 -1764766810 16
550 -1008467322 2
549 -2058248390 76
549 2026210488 552
549 162096423 552
549 -931180854 8
548 52519944 4
548 -434685617 728
548 656311531 184
548 1799171856 546
548 -53680074 548
547 -2098954634 547
546 1138973971 546
545 -1413971943 547
545 -252873912 9
544 -1715852526 7
544 1391313482 542
544 -2107925606 6
543 -1842367286 575
543 642105681 356
543 -1644785346 4
543 1105799057 540
543 -1257907882 20
542 741859951 538
542 -1389404546 68
542 1910560421 525
542 -1050831583 3
541 -895533752 566
540 -1685106207 544
539 1383488629 927
539 -548184694 537
539 1192480005 760
539 894233319 4
539 -1211039286 2
538 239631750 10
538 -720169034 460
538 -56801980 534
538 2087127373 536
537 1872827226 520
537 1981899959 526
536 2145222408 514
536 -908533630 542
536 483660520 24
536 89284681 16
535 -650503636 532
535 -822260369 610
535 -885336284 2
534 -1424151586 583
534 -1035749386 4
533 -1538827635 3
533 1242560854 20
532 -1204242186 527
532 1050926934 532
532 2102277226 1116
532 -475552350 608
532 1515227603 572
532 1186477773 802
532 1946482854 538
532 -1911985974 736
530 1286735375 552
530 574994350 2
530 1419064907 434
530 -1909723161 556
530 360418710 6
528 -687487613 3
528 1988393974 548
528 -450252535 536
528 90303994 922
528 -1454289831 2
527 697952374 7
527 1603332473 534
526 1277710464 5
526 -1475070582 20
526 618555856 517
526 -834534158 512
525 -1328736862 313
525 -2019968973 418
524 503182155 83
524 -2020534158 678
524 -313197558 4
524 721177299 4
523 -260480307 515
523 -444788340 10
522 -1921945215 508
522 -1439626728 522
522 1267319316 514
521 -156563438 557
521 877688978 521
521 -1093699118 2
521 -1955403054 2
520 -928862649 520
520 1423249077 522
520 -442438822 518
520 -1563140078 2
519 -1494930468 519
519 -2072302803 2
519 -338739107 2
518 -1638235993 10
518 -1130607740 25
518 151609028 241
518 -911153298 554
518 1072492874 443
518 -2093537857 172
517 -1485123239 517
517 -1223657748 499
517 -1376357401 517
517 -1313683997 4
517 -1838336071 2
516 1831707546 591
516 1629676210 25
516 697541334 536
516 1190983994 498
515 1286187202 515
515 -2021967272 2
515 -1353907633 2
514 -254690077 9
514 -703052759 96
514 -669430520 472
514 1935917152 91
514 -406990416 9
514 -937776400 3
514 -630350631 9
514 -1383533081 820
514 1005718264 431
514 -15193104 534
514 -1509069607 416
514 71819997 704
513 2020366934 513
513 1622341580 282
513 1821979844 4
512 404775470 512
512 -1974972670 4
511 -1660400937 525
511 1460025187 507
511 1036918917 515
511 1294495456 20
511 1613181096 134
510 -1201131505 10
510 -452667713 60
510 -1622143345 40
510 -1247682025 2
510 -1175874535 348
509 845889765 507
509 -1674951963 148
509 -2085151403 2
508 -671259789 10
508 -178945501 520
507 -2105877761 516
507 2097448605 753
507 -74797791 9
507 -1206774074 480
506 -1014493790 4
506 -1550986981 20
506 -1602518733 504
506 1181975464 434
506 72983187 492
505 511658247 540
505 -68856653 505
504 -1460054491 193
504 -1513320395 2
504 1366735644 524
503 1317712452 518
503 -1801208702 13
503 -1793647871 569
503 1210868092 3
503 -206657700 642
503 1833895268 2
503 -582065204 3
503 80586865 638
503 -387861249 20
502 -1072514827 2
502 -19839611 484
502 510665426 4
501 2017015224 245
501 98107397 6
500 1226574159 2
500 -336641809 552
500 -2075285249 510
500 366290440 514
499 268200342 15
499 1377801523 518
499 827093611 507
499 -1707405792 2
499 2145692862 352
499 1947181069 4
499 -1175063264 988
498 96275261 771
498 1813311869 385
498 -434670274 20
498 1746949069 5
497 1362964428 508
496 -1648647706 546
496 -585402250 680
496 -1363305746 588
495 1418065781 2
495 -1086954036 4
495 1607189789 383
494 505905941 648
494 915702978 490
494 1234224064 668
494 -1838990789 5
494 -2075203664 10
494 1326161576 4
494 -571872781 75
494 -1856601965 412
494 -950136289 196
494 -1222393525 2
494 846121253 2
493 714178588 593
493 1770723493 256
493 330368677 2
493 1716522365 1086
492 2054335598 492
491 -485514706 38
491 -1799696258 260
490 -923246342 555
490 426824723 81
490 -99769126 494
490 21765350 598
490 1467734587 17
489 1693168036 121
488 57342471 515
488 -1330465258 352
488 -1903897305 10
488 -1149201761 38
487 119759977 490
487 2115177657 9
486 430938113 510
486 1396008257 490
486 -1482217824 2
486 -2096117513 404
486 -386212576 484
485 1180106029 3
484 -1404578459 776
484 470829280 20
484 308175144 3
484 -1851755437 322
484 -286429549 13
484 899587872 556
483 -435852620 421
483 -2105401887 15
483 1056817474 14
483 2112646202 2
483 -366439337 2
483 -1475905757 480
483 1578147786 436
483 -23198111 762
482 -1499747556 26
482 -508436876 872
481 1323889657 3
480 279075555 12
480 -246026365 518
479 322546598 364
479 180353062 513
479 1964173470 20
479 -213813777 2
478 254693210 468
477 -457073338 145
477 -233078854 512
476 190744201 10
476 358014022 136
476 1992372486 369
476 476548410 4
476 -1878368624 146
475 -1469872605 465
474 -1729936720 11
474 -705222109 33
474 -1962850343 469
474 -2084196445 122
474 -2065131848 154
474 -34391157 28
474 1645949730 12
474 47094466 462
473 2088718177 629
473 -868456107 14
472 2006338955 733
472 573934805 42
472 -1443964275 461
472 -732259184 452
472 987926164 6
471 -715207480 5
471 1343512525 472
471 323284145 79
471 -1313956632 458
471 956826863 6
471 1140941733 10
471 -1676433608 8
470 -1512261133 462
469 1763594037 432
469 1281425893 37
468 365209022 457
468 597246322 468
468 -1482510354 468
468 1250662586 66
467 -1983464459 305
467 760393828 491
467 -271740035 6
467 1402936404 4
466 504737111 483
466 1684346897 474
466 -376798504 8
464 225612874 5
464 409053565 494
463 -760448917 5
463 1880881680 453
463 1574084558 188
463 -1487795206 568
463 -1441680645 336
463 1074752854 458
463 674020318 14
462 1316937329 466
462 1248010572 570
462 754153234 14
462 742272993 4
460 -26305698 4
460 -267962109 4
460 1217304286 2
459 -1639273377 260
458 -1527090029 327
458 -1377164165 183
458 -236034704 432
458 -250880158 726
458 -1557170171 456
457 -662202556 453
457 -884111988 2
457 1223609005 246
457 1064324333 3
456 503299113 29
455 1880899918 310
455 252231550 154
455 -722849001 1300
455 1920696946 7
454 -1191696189 4
454 -1127038277 416
454 -980853237 26
454 1457018512 2
453 596480408 237
453 1664841560 9
453 -2050447801 453
453 1984439367 364
452 -1605291019 384
452 1901483833 12
452 -1332088402 440
451 -1900697045 113
451 -519342435 462
451 85433357 8
451 -1874272533 338
450 1802375703 6
449 -78641718 337
449 -568966766 125
448 -347912212 620
448 1583210184 278
448 739150240 639
448 173044049 526
446 -1492224174 12
446 -889633494 390
446 -651195695 543
446 -1778511543 110
446 282966883 5
446 -278178680 2
446 -607807192 588
446 -781378416 20
445 1834796986 2
445 1687379941 12
445 -538855778 4
445 1965366322 85
445 -1477428002 4
444 -1771054501 132
442 950429870 503
442 119838179 612
442 771957542 4
442 1582066475 605
442 1740923662 4
442 544036446 432
441 -1235672013 531
440 309075637 376
440 1384511771 531
440 850918091 440
440 1566961952 4
440 317372896 456
440 1376357568 14
439 -859447578 534
439 645287746 600
439 856315051 9
439 2000418292 474
438 1013370951 314
438 -1019195369 4
438 642821482 72
437 -112973190 970
437 -192037812 618
437 -1067016536 20
437 1703696846 444
437 1783420509 4
436 -1064832220 438
436 -603544051 508
435 363366556 39
435 -837510990 217
435 1986427068 376
435 1144590716 128
434 1665241764 53
434 1977577220 5
434 407544820 2
434 1459339500 2
434 1829053885 436
434 -304382389 4
433 626362326 112
433 1010727910 4
433 -273085392 17
433 1236240606 2
432 -864685508 1360
432 278789175 2
431 -1752551735 555
431 1086987125 62
429 -1234721923 330
429 -2136735691 2
428 -1015358441 6
428 -1635789523 356
428 -1895650488 544
428 502272688 440
428 -1057448691 52
427 851522796 2
427 161719856 3
426 2099534142 424
426 979208124 424
426 87215892 2
426 1249438484 56
425 2035193567 450
425 919531991 90
425 2063919635 368
425 1712726231 2
424 -1977418650 81
424 -414658715 445
424 631163161 6
424 1552779417 408
423 -1169189426 389
423 -137298110 112
423 -1227516910 114
423 1661261074 566
422 1875315283 422
422 257576079 430
419 -2063902263 3
419 -1499788079 5
419 -1173594079 33
419 -1421294102 960
419 -534324246 438
419 -1578508447 73
419 -795342142 16
419 -1933575095 2
418 733827946 10
418 984190313 4
418 -601394663 546
417 -673355896 303
417 701756364 434
417 1595178728 810
416 -1097047600 6
416 -432208978 584
416 -304426855 576
415 1128844210 966
415 2047315562 417
414 1490123191 359
414 86481052 2
414 399342051 2
414 257581115 188
414 281163980 412
414 1022069171 304
413 1374964093 228
413 621915843 565
412 1839100124 392
412 -1782123747 416
412 -166278355 2
412 -939551551 410
411 -229666296 284
411 1597127812 569
410 -2008607212 371
410 -1246594470 3
410 1018786752 320
408 -1918902072 70
408 505976459 388
408 62004117 408
406 317968428 11
406 1489035692 20
406 -1469809151 10
406 1720182732 436
406 742056316 776
404 778871184 30
404 1783402717 6
404 757639616 377
404 -1379428566 26
402 -1626269000 417
402 437423627 402
402 1311760623 536
400 1851495272 6
400 914541336 2
400 411860970 218
400 1152371702 2
400 1414556278 2
400 1787270208 362
399 -1771022834 7
399 -723907490 58
399 -1811571730 20
398 -1687889242 275
398 -1991636706 8
398 915218080 22
398 -1869182570 188
398 -257610253 36
397 84670278 2
397 -723764074 442
397 216772054 542
396 665830914 768
396 -1526377851 372
396 -1400001251 8
394 1574630428 398
393 23057570 408
392 203868394 20
392 660137048 2
391 -262275570 734
390 -1788404613 838
390 -1021622323 370
390 -275707419 18
390 -909308860 324
390 -1512896776 398
390 1204492460 112
389 407583079 10
389 439234567 922
388 -1228704968 394
388 -2024355351 2
387 -1565411456 2
387 1612982502 211
387 -1203331275 540
387 -773295315 710
386 313310541 354
386 -336911697 400
385 1216906581 4
385 1054935581 46
385 1453173082 8
385 1227468453 335
384 1929121926 358
384 -1888227061 20
384 215808155 226
384 812906923 2
383 293147366 155
383 1847404426 446
383 2004501638 714
382 1177944528 472
382 -2078166009 517
382 439565176 20
381 1186220487 165
381 1483282831 20
380 1969105186 988
380 -73225874 188
380 -1586046434 214
380 -213341868 380
380 121968950 368
379 -335360892 29
379 -701121988 350
379 -330357559 84
378 689561890 93
378 -1527122333 376
378 -1585534293 2
378 1367774518 378
377 191403515 370
377 1510177983 488
377 2106046931 43
377 -348607364 100
376 -200005401 2
376 -1034985864 366
376 -317872987 4
375 1357895744 375
375 -1602402482 218
375 1788547352 11
375 -1863730194 20
375 -1863370930 8
374 -1785534281 4
374 8098048 4
374 -1643366056 468
374 1480577731 36
373 1290301890 373
373 -1029307714 8
373 1838161002 2
372 714604138 368
371 108207928 369
371 -196861591 12
371 -906980175 2
370 1689758536 390
370 1791712472 134
369 -1166586987 54
369 -1629762828 336
368 -180700998 413
368 33776260 368
367 189070377 912
367 -1799138386 374
367 1460553394 2
366 -509010897 438
366 1422966786 346
366 -384409601 70
366 852648598 120
366 -677101689 320
366 438420544 394
366 -173581234 312
365 -1165779616 184
364 -1146474601 11
364 -249087522 6
364 -1328359098 356
364 126093840 355
364 -568657092 16
364 618043377 20
364 1073413177 332
364 982606312 8
363 1536559997 876
363 -53753892 384
363 1903699327 358
363 454008431 2
363 -418333046 4
362 1785839806 9
362 1966528682 25
362 593106282 2
362 -1799372009 188
362 -564060617 4
362 -2072574055 4
362 -1560445229 4
362 1068285362 206
362 1593443652 516
362 -9175082 346
362 208317332 6
362 322112310 334
362 1819754550 20
362 1603829778 2
362 -605437807 134
362 -1846549707 362
361 -1102950092 12
360 -427712693 540
360 -1411228590 378
360 -1939044374 4
360 -375083318 2
360 -1574383614 8
360 -1033928024 366
359 -1822690583 219
359 -1038572599 24
359 575981619 11
358 1560681234 4
358 264128354 363
358 711763578 12
358 361250682 20
357 -1422829255 364
357 -794016239 41
355 1752160336 4
355 1911332991 2
354 -1297867911 161
354 958864720 132
354 322957024 4
354 1900664995 354
353 -33113808 2
353 -1381442144 107
352 568421268 356
352 508742311 253
352 -650888710 354
352 1333933748 352
352 -360993510 2
351 -1405535523 215
351 2007105603 4
351 -453240467 14
348 1424386925 9
348 946130149 5
348 -1166587287 6
348 -2006390783 4
348 646715509 504
347 -714964122 209
347 1527989954 347
347 522261107 340
347 1897409605 10
347 732912805 110
347 -1347280122 118
346 -781950838 365
346 273392954 624
346 -1604829446 4
345 -1434458884 358
345 -624421582 373
344 -263996371 822
343 -1024344497 28
342 1443609200 356
342 1437784671 351
342 -933921514 40
342 718550552 5
342 -943729470 2
342 912641537 14
342 -1716810298 330
342 -1069714258 20
342 1799029368 2
342 767824403 386
341 1814743128 348
340 279064106 256
340 1257532911 334
340 940932778 56
340 -1628044572 324
339 -1077505142 335
339 2140609810 5
339 -1561588430 42
339 952820106 20
339 1445760303 18
338 943609373 346
338 -1524307741 618
338 -2067148427 9
338 -1788948792 332
338 -476216427 610
338 -1271890800 4
337 -1463198851 297
336 169081821 765
336 -253353288 334
336 -737420586 60
336 1600289142 12
335 -990578480 7
335 -1664747512 402
335 -2004796843 142
335 -290131523 268
335 -1398851939 352
335 -691612101 4
334 1383452020 364
334 -635975094 336
333 -2118378310 348
333 1586287721 332
333 -1571564981 326
333 9505411 358
333 -1287618558 4
333 9841545 14
333 599521242 312
332 -506134420 80
332 -681168951 20
332 -1662563252 6
332 628467264 262
332 -1765974820 836
332 -2136627767 520
332 -1092063298 320
332 68116720 84
331 -787927318 257
331 1280218008 316
331 1046737296 14
331 2110069706 329
331 -1390227886 7
331 -919467237 7
331 -364825965 308
331 -442760589 20
331 139911184 6
330 1940147270 328
330 -1281479364 290
330 -759270309 19
330 -416762453 313
330 1752867577 2
330 616190825 328
329 -898748613 352
329 -1097614584 332
329 1420189725 5
329 1763701322 142
328 1999180977 337
327 283087083 792
327 -828839818 372
327 -882863863 8
327 1052579787 70
327 -144351845 222
327 1930415923 172
327 -1721341154 6
326 -1194704921 340
326 -461750170 5
326 -286905994 2
326 1049945966 246
326 212269114 272
326 429486018 12
326 -666160569 160
326 -780109993 20
325 530339737 299
325 1392473747 322
325 -1178117598 5
325 -1509601702 186
325 -1707154134 134
324 -2096008370 6
324 -850927186 163
324 -1009192770 145
324 1704395407 4
323 -1946768791 68
323 -2131338447 154
322 -1697775672 126
322 -1946373574 320
322 -1251824832 9
322 -1885401959 22
322 -2082024887 304
322 964347969 962
322 33079150 324
321 -37220453 401
321 -719738083 2
321 1483202076 150
320 1888702461 309
320 -915052698 24
320 -495837962 319
320 -1375825486 114
320 1546810590 8
320 -1149010802 334
320 -1303109890 6
318 -714518773 144
317 1199716812 5
317 755431982 320
316 -1295980176 48
316 -536656408 242
316 1103672828 77
316 -742819900 312
316 1087914060 149
316 -878071960 2
316 -1240024472 20
315 -1254754354 441
315 1417556718 4
314 1590101030 176
314 650958766 138
313 1648498660 579
313 682355779 316
313 451555275 16
313 -1366257580 606
312 613589708 10
312 -841968120 932
312 869288220 8
312 -1263585610 312
312 -1780361635 260
312 -1869060039 314
312 194792132 296
311 -1829121768 21
311 -1426917394 318
311 1606533978 495
311 -1993535184 288
309 -1875882577 61
309 1010537268 8
309 -315942101 104
309 476211644 218
309 -1547197708 2
308 -841762165 475
308 832409988 37
307 1003671422 16
307 1564009706 31
306 1722565859 144
305 -466891071 303
305 -1487234303 300
305 1750482297 263
305 -1204361947 376
305 905935841 16
305 -1548095683 46
305 -1780290889 2
304 -418314431 521
304 494399101 372
304 1368878468 114
303 -2033976795 294
303 1486801827 3
303 80454841 314
302 -2019174330 52
302 -1572540256 322
302 243885632 32
302 1598045490 258
302 -969074370 816
302 -287535715 904
302 834375466 348
302 569238829 2
302 -1590484531 20
301 386749009 23
301 -1692956140 2
300 413594709 14
300 442018112 293
300 2117238963 4
300 -1242767648 6
300 246998293 112
300 2059983547 8
300 -976843240 4
300 -1766543144 414
299 2040981457 407
298 -602473178 2
298 222451161 867
298 -2050583772 194
297 -350024268 57
297 -2020329150 5
297 -1055153078 632
297 -347282351 172
297 -1535449151 884
297 964311173 8
297 -697295468 2
296 -1942643224 306
296 933073005 2
296 -1663087379 2
295 1471450032 15
295 -1344502190 20
295 -1065367485 295
295 -1505786582 239
295 957827919 282
294 -1729964891 123
294 -1797754899 169
294 -1709691 328
294 -338437299 8
292 2042607830 9
292 69900852 2
291 322619316 280
291 442973763 246
290 227284603 2
290 334268976 10
290 158023096 280
290 716424323 2
290 -421442786 26
289 1927406045 336
289 1325820496 289
289 407724773 62
288 1819305861 174
288 100286877 297
288 -1761722004 257
288 795958901 5
288 1074814333 120
288 -789006572 6
287 397448882 216
287 -1676965416 920
287 1771512014 308
286 1059201827 286
286 -187195560 184
286 -53200920 224
286 -1242538544 272
285 -907176407 894
285 -1562184655 201
285 55051033 20
285 872164161 4
284 1821823205 20
283 770125553 49
283 -1114961028 20
283 -959270972 148
282 -1297582794 195
282 316797188 147
282 1575243731 282
282 805941195 229
282 462662061 16
282 931151675 394
281 470091784 14
281 559502880 300
281 1792026183 20
281 1209915031 814
281 202750192 805
281 806510287 8
280 1043571084 270
280 -30908850 2
280 991152661 8
280 -1711606573 268
280 -887259021 21
280 1733079413 2
278 -1133657651 20
278 -65730731 641
278 833839809 276
278 -2091096979 20
277 863909523 292
277 1255020484 309
277 1854495666 189
277 322569592 292
277 -70785202 2
277 1875466695 284
276 -817258255 5
276 927587512 9
276 252415376 254
276 1631156443 6
276 430294939 178
276 918274524 276
275 1442167375 283
275 -1397566246 50
275 2056856370 20
275 -718905361 275
275 507634252 56
275 80392332 10
275 10522215 2
275 588806020 2
275 -1245584042 278
274 -1315748223 1398
274 346059050 212
274 -291808218 282
274 -503643203 122
274 1322030810 4
274 -785621119 20
274 -76586611 4
274 768518884 2
274 1417226312 74
274 -1900579787 16
274 934212680 6
274 -1997040647 102
274 -398293865 290
274 -962907847 170
273 1934924387 275
273 -1598766408 281
272 -775016459 400
272 790396087 603
272 -391810067 9
272 786024736 275
272 -873269483 2
272 1839020815 8
272 1777708799 116
272 1016008767 106
272 2098297782 2
272 53173222 272
272 1064551887 4
271 109531759 242
271 1569403867 2
271 591949095 11
271 2112801495 9
271 1079976239 5
271 1678664511 4
270 -1125517214 270
269 2026563941 393
269 -2014056162 103
269 -1524760384 11
269 -1612026646 269
269 -1795836056 248
269 -1696731888 2
268 -878502014 253
268 1572259384 74
268 301914772 2
268 -2145092374 10
268 1982367763 84
268 2126253560 12
268 1447931011 174
267 1925868286 266
